SampleID,Date
ST08-3-AS,2008-03-01
ST08-4-AS,2008-04-01
ST08-5-AS,2008-05-01
ST07-7-AS,2007-07-01
ST10-6-AS,2010-06-01
ST10-7-AS,2010-07-01
ST12-5-AS,2012-05-01
ST11-11-AS,2011-11-01
ST11-10-AS,2011-10-01
ST12-1-AS,2012-01-01
ST12-3-AS,2012-03-01
ST10-10-AS,2010-10-01
ST10-11-AS,2010-11-01
ST10-8-AS,2010-08-01
ST11-1-AS,2011-01-01
ST09-6-AS,2009-06-01
ST09-8-AS,2009-08-01
ST10-2-AS,2010-02-01
ST10-3-AS,2010-03-01
ST08-9-AS,2008-09-01
ST11-3-AS,2011-03-01
ST08-1-AS,2008-01-01
ST11-2-AS,2011-02-01
ST11-6-AS,2011-06-01
ST07-8-AS,2007-08-01
ST09-9-AS,2009-09-01
ST10-1-AS,2010-01-01
ST08-6-AS,2008-06-01
ST07-10-AS,2007-10-01
ST07-11-AS,2007-11-01
ST07-9-AS,2007-09-01
ST12-6-AS,2012-06-01
ST12-7-AS,2012-07-01
ST10-12-AS,2010-12-01
ST11-12-AS,2011-12-01
ST11-8-AS,2011-08-01
ST11-9-AS,2011-09-01
ST12-2-AS,2012-02-01
ST12-4-AS,2012-04-01
ST11-7-AS,2011-07-01
ST09-10-AS,2009-10-01
ST09-7-AS,2009-07-01
ST08-12-AS,2008-12-01
ST09-2-AS,2009-02-01
ST09-3-AS,2009-03-01
ST09-4-AS,2009-04-01
ST09-5-AS,2009-05-01
ST09-12-AS,2009-12-01
ST11-5-AS,2011-05-01
ST10-9-AS,2010-09-01
ST09-11-AS,2009-11-01
ST08-7-AS,2008-07-01
ST08-8-AS,2008-08-01
ST08-2-AS,2008-02-01
ST08-11-AS,2008-11-01
ST09-1-AS,2009-01-01
ST11-4-AS,2011-04-01
ST07-12-AS,2007-12-01
